,Ta,RH
2021-07-02 19:30:00,19.17,99.32
2021-07-02 19:40:00,19.2,99.32
2021-07-02 19:50:00,19.16,99.32
2021-07-02 20:00:00,19.14,99.61
2021-07-02 20:10:00,19.11,99.61
2021-07-02 20:20:00,19.08,99.61
2021-07-02 20:30:00,19.07,99.9
2021-07-02 20:40:00,19.08,99.9
2021-07-02 20:50:00,19.09,100.2
2021-07-02 21:00:00,19.08,100.2
2021-07-02 21:10:00,19.05,100.2
2021-07-02 21:20:00,19.0,100.2
2021-07-02 21:30:00,18.94,100.2
2021-07-02 21:40:00,18.9,100.2
2021-07-02 21:50:00,18.82,100.2
2021-07-02 22:00:00,18.72,100.2
2021-07-02 22:10:00,18.61,100.2
2021-07-02 22:20:00,18.49,99.9
2021-07-02 22:30:00,18.32,99.9
2021-07-02 22:40:00,18.15,99.9
2021-07-02 22:50:00,17.98,99.9
2021-07-02 23:00:00,17.82,99.9
2021-07-02 23:10:00,17.67,100.2
2021-07-02 23:20:00,17.55,100.2
2021-07-02 23:30:00,17.48,100.5
2021-07-02 23:40:00,17.41,100.81
2021-07-02 23:50:00,17.27,100.2
2021-07-03 00:00:00,17.09,100.5
2021-07-03 00:10:00,16.97,100.5
2021-07-03 00:20:00,16.8,100.5
2021-07-03 00:30:00,16.72,100.81
2021-07-03 00:40:00,16.59,100.5
2021-07-03 00:50:00,16.5,100.81
2021-07-03 01:00:00,16.6,101.42
2021-07-03 01:10:00,16.79,101.73
2021-07-03 01:20:00,16.81,101.42
2021-07-03 01:30:00,16.75,101.42
2021-07-03 01:40:00,16.71,101.42
2021-07-03 01:50:00,16.64,101.42
2021-07-03 02:00:00,16.62,101.42
2021-07-03 02:10:00,16.59,101.73
2021-07-03 02:20:00,16.7,102.04
2021-07-03 02:30:00,16.8,101.73
2021-07-03 02:40:00,16.77,101.73
2021-07-03 02:50:00,16.71,101.42
2021-07-03 03:00:00,16.62,101.42
2021-07-03 03:10:00,16.58,101.42
2021-07-03 03:20:00,16.53,101.73
2021-07-03 03:30:00,16.47,101.42
2021-07-03 03:40:00,16.43,101.73
2021-07-03 03:50:00,16.46,101.73
2021-07-03 04:00:00,16.39,101.73
2021-07-03 04:10:00,16.25,101.42
2021-07-03 04:20:00,16.21,101.73
2021-07-03 04:30:00,16.15,101.73
2021-07-03 04:40:00,16.05,101.73
2021-07-03 04:50:00,15.97,101.42
2021-07-03 05:00:00,15.97,102.04
2021-07-03 05:10:00,16.04,102.04
2021-07-03 05:20:00,16.06,102.04
2021-07-03 05:30:00,16.07,102.04
2021-07-03 05:40:00,16.04,101.73
2021-07-03 05:50:00,16.1,102.34
2021-07-03 06:00:00,16.29,102.65
2021-07-03 06:10:00,16.47,102.65
2021-07-03 06:20:00,16.62,102.34
2021-07-03 06:30:00,16.75,102.34
2021-07-03 06:40:00,16.83,102.04
2021-07-03 06:50:00,16.94,100.5
2021-07-03 07:00:00,17.4,94.63
2021-07-03 07:10:00,18.39,84.69
2021-07-03 07:20:00,19.35,85.54
2021-07-03 07:30:00,20.15,75.18
2021-07-03 07:40:00,20.86,72.38
2021-07-03 07:50:00,21.35,69.38
2021-07-03 08:00:00,21.58,67.25
2021-07-03 08:10:00,21.67,69.91
2021-07-03 08:20:00,21.99,65.12
2021-07-03 08:30:00,22.29,64.05
2021-07-03 08:40:00,22.56,62.45
2021-07-03 08:50:00,22.81,67.25
2021-07-03 09:00:00,23.12,57.39
2021-07-03 09:10:00,23.32,57.39
2021-07-03 09:20:00,23.48,54.35
2021-07-03 09:30:00,23.7,65.92
2021-07-03 09:40:00,23.97,63.25
2021-07-03 09:50:00,24.18,56.88
2021-07-03 10:00:00,24.49,53.59
2021-07-03 10:10:00,24.84,56.88
2021-07-03 10:20:00,25.16,55.87
2021-07-03 10:30:00,25.34,54.35
2021-07-03 10:40:00,25.46,53.08
2021-07-03 10:50:00,25.37,52.07
2021-07-03 11:00:00,25.2,50.3
2021-07-03 11:10:00,25.77,51.06
2021-07-03 11:20:00,26.41,43.99
2021-07-03 11:30:00,26.56,46.76
2021-07-03 11:40:00,26.81,44.23
2021-07-03 11:50:00,26.61,52.33
2021-07-03 12:00:00,26.28,55.61
2021-07-03 12:10:00,25.85,57.39
2021-07-03 12:20:00,25.5,58.19
2021-07-03 12:30:00,25.39,58.46
2021-07-03 12:40:00,25.36,59.26
2021-07-03 12:50:00,25.49,53.59
2021-07-03 13:00:00,25.66,53.34
2021-07-03 13:10:00,25.79,53.34
2021-07-03 13:20:00,25.9,51.82
2021-07-03 13:30:00,25.87,49.8
2021-07-03 13:40:00,25.97,50.56
2021-07-03 13:50:00,26.05,47.01
2021-07-03 14:00:00,26.13,47.52
2021-07-03 14:10:00,26.07,48.28
2021-07-03 14:20:00,25.99,49.54
2021-07-03 14:30:00,25.94,48.03
2021-07-03 14:40:00,25.7,50.81
2021-07-03 14:50:00,25.77,51.31
2021-07-03 15:00:00,25.88,52.33
2021-07-03 15:10:00,25.77,55.11
2021-07-03 15:20:00,25.83,55.11
2021-07-03 15:30:00,26.17,54.6
2021-07-03 15:40:00,26.4,54.1
2021-07-03 15:50:00,26.41,53.84
2021-07-03 16:00:00,26.54,53.08
2021-07-03 16:10:00,26.6,53.59
2021-07-03 16:20:00,26.77,52.58
2021-07-03 16:30:00,26.81,54.1
2021-07-03 16:40:00,26.72,53.34
2021-07-03 16:50:00,26.68,53.34
2021-07-03 17:00:00,26.56,54.35
2021-07-03 17:10:00,26.53,50.56
2021-07-03 17:20:00,26.7,53.34
2021-07-03 17:30:00,26.99,53.08
2021-07-03 17:40:00,27.34,48.79
2021-07-03 17:50:00,27.61,48.03
2021-07-03 18:00:00,27.62,49.54
2021-07-03 18:10:00,27.47,50.56
2021-07-03 18:20:00,27.33,49.8
2021-07-03 18:30:00,27.14,49.04
2021-07-03 18:40:00,26.94,47.77
2021-07-03 18:50:00,26.59,49.54
2021-07-03 19:00:00,26.21,47.52
2021-07-03 19:10:00,25.85,44.49
2021-07-03 19:20:00,25.59,40.88
2021-07-03 19:30:00,25.33,42.08
2021-07-03 19:40:00,25.01,43.51
2021-07-03 19:50:00,24.7,44.23
2021-07-03 20:00:00,24.43,45.5
2021-07-03 20:10:00,24.12,46.0
2021-07-03 20:20:00,23.85,48.53
2021-07-03 20:30:00,23.6,51.57
2021-07-03 20:40:00,23.37,54.6
2021-07-03 20:50:00,23.21,55.61
2021-07-03 21:00:00,23.04,57.13
2021-07-03 21:10:00,22.85,58.19
2021-07-03 21:20:00,22.61,59.26
2021-07-03 21:30:00,22.39,59.79
2021-07-03 21:40:00,22.17,61.39
2021-07-03 21:50:00,21.92,62.19
2021-07-03 22:00:00,21.71,63.52
2021-07-03 22:10:00,21.5,64.05
2021-07-03 22:20:00,21.28,65.38
2021-07-03 22:30:00,21.05,66.45
2021-07-03 22:40:00,20.86,67.78
2021-07-03 22:50:00,20.69,69.11
2021-07-03 23:00:00,20.42,71.26
2021-07-03 23:10:00,20.23,72.1
2021-07-03 23:20:00,20.1,73.22
2021-07-03 23:30:00,19.96,74.06
2021-07-03 23:40:00,19.84,74.62
2021-07-03 23:50:00,19.93,74.06
2021-07-04 00:00:00,20.14,71.54
2021-07-04 00:10:00,20.37,70.71
2021-07-04 00:20:00,20.53,69.91
2021-07-04 00:30:00,20.35,77.97
2021-07-04 00:40:00,19.88,82.45
2021-07-04 00:50:00,19.47,85.25
2021-07-04 01:00:00,19.17,87.3
2021-07-04 01:10:00,18.95,89.06
2021-07-04 01:20:00,18.78,89.65
2021-07-04 01:30:00,18.61,90.53
2021-07-04 01:40:00,18.48,90.82
2021-07-04 01:50:00,18.41,90.53
2021-07-04 02:00:00,18.38,91.11
2021-07-04 02:10:00,18.38,91.41
2021-07-04 02:20:00,18.42,91.7
2021-07-04 02:30:00,18.45,91.99
2021-07-04 02:40:00,18.48,91.99
2021-07-04 02:50:00,18.46,91.99
2021-07-04 03:00:00,18.43,91.7
2021-07-04 03:10:00,18.41,91.99
2021-07-04 03:20:00,18.4,91.99
2021-07-04 03:30:00,18.37,91.99
2021-07-04 03:40:00,18.36,92.28
2021-07-04 03:50:00,18.34,91.99
2021-07-04 04:00:00,18.27,91.7
2021-07-04 04:10:00,18.2,91.7
2021-07-04 04:20:00,18.15,91.7
2021-07-04 04:30:00,18.13,92.28
2021-07-04 04:40:00,18.2,91.99
2021-07-04 04:50:00,18.3,91.7
2021-07-04 05:00:00,18.41,91.11
2021-07-04 05:10:00,18.53,90.23
2021-07-04 05:20:00,18.65,89.65
2021-07-04 05:30:00,18.71,89.06
2021-07-04 05:40:00,18.74,87.6
2021-07-04 05:50:00,18.77,86.72
2021-07-04 06:00:00,18.8,86.72
2021-07-04 06:10:00,18.82,84.69
2021-07-04 06:20:00,18.82,83.57
2021-07-04 06:30:00,18.81,83.01
2021-07-04 06:40:00,18.8,82.45
2021-07-04 06:50:00,18.86,81.61
2021-07-04 07:00:00,18.94,81.33
2021-07-04 07:10:00,19.04,80.21
2021-07-04 07:20:00,19.17,79.93
2021-07-04 07:30:00,19.29,80.77
2021-07-04 07:40:00,19.38,81.05
2021-07-04 07:50:00,19.51,81.05
2021-07-04 08:00:00,19.91,80.21
2021-07-04 08:10:00,20.29,78.25
2021-07-04 08:20:00,20.46,78.81
2021-07-04 08:30:00,20.9,78.25
2021-07-04 08:40:00,21.21,77.97
2021-07-04 08:50:00,21.36,77.14
2021-07-04 09:00:00,21.76,71.26
2021-07-04 09:10:00,21.88,71.26
2021-07-04 09:20:00,22.35,69.64
2021-07-04 09:30:00,22.67,68.05
2021-07-04 09:40:00,22.68,69.11
2021-07-04 09:50:00,22.77,69.64
2021-07-04 10:00:00,23.31,65.38
2021-07-04 10:10:00,23.53,63.25
2021-07-04 10:20:00,23.37,64.32
2021-07-04 10:30:00,23.1,68.58
2021-07-04 10:40:00,22.73,66.45
2021-07-04 10:50:00,22.44,71.54
2021-07-04 11:00:00,22.11,73.22
2021-07-04 11:10:00,21.73,77.7
2021-07-04 11:20:00,21.32,83.57
2021-07-04 11:30:00,20.9,85.25
2021-07-04 11:40:00,20.44,87.6
2021-07-04 11:50:00,20.08,89.94
2021-07-04 12:00:00,19.66,91.11
2021-07-04 12:10:00,19.15,91.11
